종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
캐스텍코리아,4620,80,-1.7,500,765,16569,13.350000000000001,195134,-5.07,-16.439999999999998
크로바하이텍,2485,0,0,500,764,30756,0.44,0,24.36,-24.459999999999997
엠브레인,8520,0,0,500,764,8968,0.97,9513,15.629999999999999,20.22
대성파인텍,2440,5,0.21000000000000002,100,764,31301,2.25,386618,42.07,2.96
휴럼,2090,40,-1.8800000000000001,100,762,36440,0.46,184512,31.19,41.13
파워넷,4615,70,-1.49,1000,762,16501,0.99,78206,-148.87,0.32999999999999996
대한과학,10200,100,-0.97,500,760,7454,1.37,43388,32.690000000000005,5.95
한국큐빅,4650,110,-2.3099999999999996,500,760,16351,6.01,129806,7.99,16.88
이상네트웍스,8430,80,-0.9400000000000001,500,760,9015,2.61,168361,33.720000000000006,6.38
지더블유바이텍,2550,70,-2.67,500,759,29766,1.59,113533,-21.610000000000003,-53.74
오공,4480,5,0.11,500,759,16942,3.05,28444,8.16,9.29
유니트론텍,6000,110,-1.8,500,754,12561,0,88430,171.43,3.2
스킨앤스킨,263,0,0,100,753,286227,0.42000000000000004,0,-1.56,-112.19
삼보산업,1975,210,-9.61,100,752,38092,0.8700000000000001,4707124,-15.8,-39.36
무림SP,3395,55,-1.59,500,752,22138,3.14,131028,24.08,0.8600000000000001
메이슨캐피탈,497,8,-1.58,500,751,151184,0.59,358767,26.16,6.39
아시아종묘,7050,410,6.17,500,749,10620,1.04,454433,-45.48,-9.55
대창스틸,3545,30,0.8500000000000001,500,748,21109,1.42,89494,11.25,-7.1
큐브앤컴퍼니,2010,120,-5.63,500,748,37226,0.9400000000000001,366305,-8.82,NA
메타바이오메드,3135,20,-0.63,500,748,23862,3.22,598183,23.4,-8.09
삼영에스앤씨,13450,500,3.86,500,747,5557,0.52,96851,46.379999999999995,9.139999999999999
지엔씨에너지,4530,65,-1.41,500,745,16449,1.46,41598,53.290000000000006,3.56
코디엠,272,1,0.37,100,745,273760,1.31,3853585,45.33,-18
GH신소재,6740,250,3.8499999999999996,500,741,11000,2.01,346520,124.81,0.12000000000000001
디케이앤디,9550,150,-1.55,500,741,7763,4.18,70480,16.959999999999997,6.81
국영지앤엠,2120,45,-2.08,500,740,34895,5.52,180328,-39.260000000000005,-2.51
이루온,2710,90,3.44,500,739,27275,9.34,4205866,22.97,5.970000000000001
핸디소프트,3795,60,-1.56,500,737,19408,0.19,14352,21.56,6.05
한국컴퓨터,4580,145,-3.07,500,736,16071,2.8699999999999997,675954,5.59,8.93
세중,4055,35,-0.8600000000000001,500,735,18122,2.64,51624,44.08,0.63
메디앙스,6200,0,0,500,732,11800,3.12,0,4.05,4.95
손오공,2715,20,-0.73,500,730,26896,3.7800000000000002,276681,-150.83,-8.28
우양,5100,10,-0.2,100,727,14258,0.49,28910,45.54,11.43
얼라인드,10100,300,-2.88,500,726,7189,2.51,23838,21.77,2.21
웹스,5030,130,-2.52,500,723,14364,0.97,1657070,111.78,-2.21
골든센츄리,409,9,2.25,0,722,176574,34.64,1227613,3.3299999999999996,8.68
TJ미디어,5180,50,-0.96,500,722,13932,0.31,97280,-33.21,-3.17
디지탈옵틱,5480,100,-1.79,1000,721,13160,2.4,66331,-1.54,-166.02
나노브릭,7750,50,0.65,500,721,9302,0.09,5301,861.11,-0.65
한일네트웍스,6030,20,0.32999999999999996,500,721,11954,3.08,29383,8.39,10.56
로지시스,7450,160,-2.1,500,721,9674,0.3,76337,44.879999999999995,2.9
파버나인,5070,80,-1.55,500,720,14199,0.59,169286,9.96,7.64
미래테크놀로지,11750,0,0,500,719,6121,0.18,0,11.92,4.39
램테크놀러지,6180,20,-0.32,500,717,11607,2.08,21518,25.02,6.68
한일진공,915,24,2.69,100,716,78306,0.76,392092,7.09,9.08
한라IMS,6100,0,0,500,716,11745,1.85,91958,36.09,4.06
상상인인더스트리,998,1,0.1,500,716,71751,1.91,136456,-124.75,5.51
이노테라피,14150,100,-0.7,500,714,5044,0.71,8984,-20.6,-21.75
KBI메탈,2160,25,-1.1400000000000001,500,712,32951,5.159999999999999,255369,-38.57,2.02
대호특수강,941,18,-1.8800000000000001,500,710,75399,1.99,1157464,-7.53,-43.03
대동스틸,7080,290,4.2700000000000005,500,708,10000,4.72,153209,5.72,0.32
미래생명자원,3790,80,2.16,100,708,18671,1.44,44571,82.39,3.17
배럴,8970,220,-2.3899999999999997,500,707,7886,1.58,33328,-13.08,-14.43
서울제약,8280,60,0.73,500,706,8525,5.05,25693,-33.52,-4.68
블루베리 NFT,2465,70,2.92,500,705,28595,1.6300000000000001,83225,-7.02,-58.75
서남,3415,35,-1.01,500,705,20631,3.56,57150,-15.04,-50.260000000000005
마이크로컨텍솔,8450,170,-1.97,500,702,8313,15.28,50395,22.01,3.32
에스에이티,2685,40,1.51,500,702,26133,6.04,375045,14.92,4.49
유아이엘,3220,10,-0.31,500,701,21785,5.81,73982,-3.73,-6.659999999999999
모헨즈,6400,120,-1.84,500,699,10920,0.75,463380,-400,0.24000000000000002
아이즈비전,4230,40,0.9500000000000001,500,695,16440,1.6900000000000002,94978,3.44,12.4
판타지오,107,2,1.9,100,692,646809,0.98,10853374,-11.89,-11.709999999999999
피에스엠씨,1705,80,-4.48,500,692,40574,3.52,385565,-14.09,-35.839999999999996
네오크레마,9440,460,-4.6499999999999995,500,692,7328,0.21000000000000002,161950,32.33,3.58
픽셀플러스,8470,20,0.24000000000000002,500,692,8167,0,23702,34.290000000000006,5.03
디티앤씨,6130,70,1.1600000000000001,500,692,11283,1.08,12366,-10,-6.59
쌍용정보통신,1080,5,-0.46,500,691,63964,0.06,243413,-2.54,-42.160000000000004
우진비앤지,2385,15,-0.62,500,689,28889,2.3299999999999996,425845,-49.690000000000005,-7.23
파인텍,1605,5,0.31,500,689,42927,2.55,779907,-3.55,-57.809999999999995
큐로홀딩스,570,3,-0.52,500,687,120601,0.9,126412,-11.629999999999999,-34.14
솔고바이오,1130,10,-0.88,500,687,60759,0.73,999164,-125.56,4.91
쎄니트,2025,20,-0.98,500,685,33833,2.62,84272,14.78,11.850000000000001
토박스코리아,1425,15,-1.04,100,685,48075,14.18,352638,-49.14,-15.55
비디아이,2605,65,-2.4299999999999997,500,685,26289,0.16,969755,-0.6599999999999999,-498.52
네오리진,1275,10,0.7899999999999999,100,684,53678,1.94,165771,-42.5,-17.650000000000002
예림당,2970,45,-1.49,500,684,23034,2.19,55041,-1.99,-27.150000000000002
유신,22800,450,2.01,5000,684,3000,5.7,50427,7.85,3.69
뉴프렉스,2820,105,-3.59,500,680,24105,1.83,794271,-14.84,-21.419999999999998
스포츠서울,7360,0,0,500,678,9212,0.76,0,15.860000000000001,4308.4
케이엠제약,2430,25,-1.02,100,678,27887,1.56,80147,-2430,1.45
화성밸브,6450,240,3.86,500,671,10410,4.159999999999999,135168,37.720000000000006,1.6800000000000002
엔에스엔,1160,5,0.43000000000000005,500,669,57693,3.02,160072,-3.8299999999999996,-38.339999999999996
삼영엠텍,5140,20,-0.39,500,668,13000,1.76,65938,12.98,9.139999999999999
원일특강,15150,50,-0.32999999999999996,500,667,4400,1.5,91529,10.53,1.23
디엔에이링크,4060,100,-2.4,500,666,16394,0.5,62564,-5.109999999999999,-54.03
에코캡,4565,40,0.88,100,665,14559,0.77,203069,-8.61,-18.21
티엘아이,6730,50,0.75,500,664,9873,0.8,6889,-17.17,-8.89
파인디앤씨,2515,160,-5.98,500,663,26360,3.25,623073,-4.31,-28.66
케이디켐,16400,100,-0.61,500,662,4035,1.3,5902,8.15,8.82
에스폴리텍,4040,20,-0.49,500,660,16335,0.41000000000000003,57013,13.42,13.09
이엘피,7070,10,0.14,500,659,9325,3.77,66937,1010,3.59
에이치앤비디자인,14000,1150,-7.59,500,658,4701,1.3900000000000001,110748,-2.02,-195.85000000000002
성창오토텍,9000,100,1.12,500,657,7300,1.52,52709,16.82,2.18
유니온커뮤니티,4475,20,-0.44,500,657,14679,6.21,57597,39.6,6.23
그리티,3260,40,-1.21,500,657,20147,7.17,47288,-28.85,1.31
모바일리더,20000,400,-1.96,500,657,3284,1.58,6817,11.639999999999999,14.99
