종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
TIGER 중국소비테마,8710,10,-0.11,0,1500,17220,0,37666,NA,NA
삼일씨엔에스,11750,150,-1.26,1000,1496,12732,1.04,19365,-7.78,-0.37
디와이파워,13500,650,-4.59,500,1491,11042,8.95,187718,4.23,14.27
SG세계물산,733,3,0.41,500,1484,202425,1.36,455574,2.99,-5.16
STX중공업,5180,110,-2.08,2500,1469,28366,0.56,230830,-9.09,0.73
부산산업,137000,8500,6.61,5000,1447,1056,2.27,26936,-944.83,4.33
CJ씨푸드,4025,0,0,500,1446,35931,0.83,68295,37.62,3.23
남광토건,14700,600,4.26,5000,1445,9829,1.67,59764,8.9,23.1
세아특수강,16850,150,-0.88,5000,1444,8570,2.97,14788,14.07,-1.42
계양전기,4420,20,-0.45,500,1441,32600,3.18,99152,15.84,5.3
한진중공업홀딩스,4850,45,0.94,5000,1432,29530,2.13,33152,-17.02,-1.15
윌비스,2175,25,-1.14,1000,1431,65772,4.21,966562,-23.39,-2.43
우리들휴브레인,1770,90,5.36,500,1428,80699,1.04,5734915,6.3,20.12
코오롱인더우,51500,400,-0.77,5000,1425,2768,14.21,80003,10.31,NA
대원전선,2005,20,-0.99,500,1424,71017,2.55,1106385,-250.62,2.79
이구산업,4250,255,-5.66,500,1421,33442,1.3,1135822,10.42,1.86
에쓰씨엔지니어링,4910,60,-1.21,500,1416,28831,0.39,312820,-12.82,-5.06
디와이,5360,40,-0.74,500,1411,26320,10.56,79140,-29.61,-3.39
시디즈,70500,1000,-1.4,500,1410,2000,1.97,2305,7.84,42.92
경동도시가스,23900,0,0,2500,1409,5895,16.27,15937,5.88,5.46
대원화성,3415,25,0.74,500,1409,41249,1.18,820021,-85.38,-2.8
유유제약,8170,110,-1.33,1000,1408,17232,1.37,85067,453.89,1.26
CJ우,62000,400,-0.64,5000,1401,2260,13.45,441,42.38,NA
태평양물산,2910,135,4.86,500,1401,48150,2.3,5333826,-10.98,-7.14
국동,2565,0,0,500,1387,54074,1.21,579499,-19,20.63
일진디스플,4020,20,0.5,500,1386,34468,3.7,58383,-3.36,-94.15
미창석유,79600,500,-0.62,5000,1385,1740,32.1,1418,5.57,7.36
SK우,244500,1000,-0.41,200,1384,566,2.33,1785,15.78,NA
크라운해태홀딩스,9310,170,1.86,500,1382,14847,3.32,39391,6.58,8.4
대유에이텍,1235,20,-1.59,500,1381,111862,0.8,1117732,28.07,-1.86
보락,2290,5,-0.22,200,1372,59900,2.03,602354,114.5,0.9
보해양조,1000,0,0,500,1368,136786,2.27,828590,50,2.22
솔루스첨단소재1우,18550,450,2.49,100,1366,7366,9.06,44984,-48.31,NA
토니모리,7430,20,0.27,200,1366,18384,0.61,25048,-9.56,-46.89
삼호개발,5460,10,-0.18,500,1365,25000,6.03,48859,8.31,9.26
세원이앤씨,938,9,-0.95,500,1365,145510,2.26,17455128,-5.72,-15.32
대현,3080,40,1.32,500,1364,44282,7.96,1379640,10.58,4.48
KODEX 미국나스닥100TR,11840,75,0.64,0,1362,11500,0.01,204966,NA,NA
조선선재,108000,1000,0.93,500,1358,1258,1.31,11666,14.38,8.09
휴스틸,17700,300,1.72,5000,1355,7656,3.53,142205,5.09,2.13
세이브존I&C,3300,35,-1.05,1000,1354,41041,9.73,22090,14.29,2.2
한국화장품제조,29850,50,-0.17,500,1353,4532,0.71,8061,-32.87,-8.72
이지스밸류리츠,5630,50,0.9,1000,1351,24000,3.04,136341,NA,NA
화승코퍼레이션,2695,10,-0.37,500,1349,50051,2.97,115981,-5.51,-17.15
지엠비코리아,7070,80,-1.12,500,1348,19072,56.31,42842,50.5,-3.69
삼원강재,3370,20,-0.59,500,1348,40000,0.85,37808,15.32,3.84
DSR제강,9330,370,-3.81,500,1344,14400,1.35,537095,51.55,3.67
국제약품,6940,10,-0.14,1000,1338,19276,0.86,218477,-66.1,3.35
TIGER 글로벌자율주행&전기차SOLACTIVE,10730,150,1.42,0,1335,12440,1.8,154655,NA,NA
엔케이물산,1670,40,-2.34,100,1327,79439,6.43,4702923,-23.19,7.04
조비,25550,2200,9.42,5000,1327,5192,1.89,728335,56.9,6.06
TIGER 반도체,35470,215,-0.6,0,1327,3740,1.07,37844,NA,NA
KODEX 미국S&P500TR,11515,100,0.88,0,1324,11500,0,159370,NA,NA
